Iteration,MeanValue,BestValue,DiversityIndicator,MeanMutation,MeanCrossover,k_selection,k_elimination
0,3.440000000000011e+20,274526.02952297626,0.9056559999999996,0.11881201205136324,0.9468318256888031,5,6
1,6.900000000000064e+19,274526.02952297626,0.8053179999999992,0.1211775311625635,0.9471008984268486,6,7
2,1.40000000000004e+19,290655.4528846593,0.6577415000000005,0.09152005986639696,0.9591722699100151,6,8
3,9.500000000000346e+18,298793.65911524836,0.6846939999999997,0.05465236190803763,0.9848492596439554,6,8
4,2.5000000000003256e+18,298793.65911524836,0.5113779999999994,0.08492026810136483,0.9889224118315593,7,8
5,1.1500000000000344e+19,299375.06527664553,0.5556360000000002,0.09196224845210364,0.9889190061252302,7,8
6,5.000000000000343e+18,299375.06527664553,0.5412650000000007,0.1217020609818603,0.9925814081312185,8,8
7,1.5000000000003548e+18,304437.01939198107,0.474614,0.117921913156579,0.9915566244275462,8,8
8,1.500000000000353e+18,305692.7321721311,0.4556289999999999,0.11300981803746543,0.9844784169375836,8,8
9,4.5000000000003656e+18,305692.7321721311,0.33908300000000047,0.11096759598370914,0.9898472849696396,8,8
10,4.000000000000361e+18,305692.7321721311,0.35071449999999965,0.11303815199479184,0.9888641923946102,8,8
11,5.0000000000035725e+17,305692.7321721311,0.33424500000000035,0.11114200613108144,0.9904675051521705,8,8
12,3.000000000000362e+18,309339.6142359007,0.4267295000000002,0.12114686962995867,0.9882879253539636,8,8
13,5.0000000000035955e+17,308749.50700501364,0.37711100000000014,0.10984239758460357,0.986297315435263,8,8
14,352148.4016446841,337086.4273481566,0.31625400000000004,0.10616713507201851,0.9873776328204236,8,8
15,348118.62227763585,337086.4273481566,0.2706400000000001,0.10857265010358151,0.9849598095056227,8,8
16,342685.40841172094,337086.4273481566,0.18717399999999965,0.10582943779859573,0.9801601664170215,8,8
17,340936.0750920681,337086.4273481566,0.14025799999999986,0.11346179322133496,0.9890851454245008,8,9
18,2.0000000000003443e+18,335535.3784077205,0.11917249999999985,0.11941703957065528,0.9912453388110251,8,8
19,340533.14292422077,335535.3784077205,0.109424,0.11710745337952692,0.990788784023688,8,8
20,1.0000000000003429e+18,335535.3784077205,0.12185900000000015,0.11039050330374367,0.9931246167831443,8,8
21,340427.16195332614,333123.255676652,0.15133300000000002,0.11731782697892813,0.9842602256191202,8,8
22,1.00000000000034e+18,333123.255676652,0.150144,0.11162266120201426,0.9951426581465435,8,8
23,2.500000000000359e+18,330939.9954127501,0.17153049999999978,0.10658559938479102,0.9968384102312933,8,8
24,1.0000000000003365e+18,330939.9954127501,0.14614449999999976,0.11073139707001327,0.9955362016447141,8,8
25,337776.1094425732,328716.7769444415,0.10492749999999974,0.11420414541103323,0.9842124287125216,8,8
